Title (if known),Season,New Commitment Status,"""Known"" vs. Additional",Status Quo,ASQ,Invest in All,Source,Exclusivity / Window,Year,Month,Month Year,Market,Region,New vs. Returning,Content type,Performance Tier,Tier Confirmed?,Budget Tier,PSI Content genre,Genre tier map,PSI Content format,Format,Genre,Co-pro flag,Anime flag,Animated flag,VFX flag,Release strategy,Simplified Categories,Volume (eps),Hours per ep,Volume (hours)
Residuals - uncommitted,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2026,1,1/1/26,US,NA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
Other costs - uncommitted,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2026,1,1/1/26,US,NA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
LATAM Development costs,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
EMEA Development costs,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
APAC Development costs,N/A,Development,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,Rest of APAC,APAC,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
LATAM Development costs,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,TBD,Exclusive,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
EMEA Development costs,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,TBD,Exclusive,2023,1,1/1/23,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
APAC Development costs,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,TBD,Exclusive,2023,1,1/1/23,Rest of APAC,APAC,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
LATAM LOP Discretionary Fund,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,TBD,Exclusive,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
EMEA LOP Discretionary Fund,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,TBD,Exclusive,2023,1,1/1/23,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
APAC LOP Discretionary Fund,N/A,Additional Areas of Investment,Placeholder,Exclude,Exclude,Include,TBD,Exclusive,2023,1,1/1/23,Rest of APAC,APAC,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
US Linear 3P Ouput Deal Films,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Linear 3P Other Films,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Linear I/C Output Deal Films Incl. Through 27,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Linear I/C Other Films,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Linear Assumed (Essentially Committed),N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Max 3P Acquisitions - Feature Committed,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Max 3P Acquisitions - Series Committed,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Max I/C Acquisitions - Feature Committed,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Max I/C Acquisitions - Feature (Essentially Committed) True up to Budget Through MAX FEATURES,N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Max I/C Acquisitions - Series Committed,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Max I/C Acquisitions - New Renewals,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Max I/C aLWAYS ON Series Acquisitions (Essentially Committed),N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Max I/C aLWAYS ON Movie Acquisitions (Essentially Committed),N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
Discovery Linear,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
Dry Powder,N/A,Recommended Global ACQ Budget,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Committed ACQ Cash,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Priority Uncommitted ACQ Cash,N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
LATAM ACQ Committed,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
LATAM ACQ Essentially Committed,N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
LATAM Always On,N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
LATAM Acquisitions - Dry Powder,N/A,Recommended Global ACQ Budget,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
LATAM D+ Allocation,N/A,Committed,Known,Include,Include,Include,D+,D+ Concurrent,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
LATAM Intracompany ACQ (remove from amort),N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
EMEA ACQ Committed,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,EMEA - ignore,EMEA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
EMEA ACQ Essentially Committed,N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,EMEA - ignore,EMEA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
EMEA Always On,N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,EMEA - ignore,EMEA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
EMEA Acquisitions - Dry Powder,N/A,Recommended Global ACQ Budget,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,EMEA - ignore,EMEA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
EMEA D+ Allocation,N/A,Committed,Known,Include,Include,Include,D+,D+ Concurrent,2023,1,1/1/23,EMEA - ignore,EMEA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
EMEA Intracompany ACQ (remove from amort),N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,EMEA - ignore,EMEA,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
APAC ACQ Committed,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,Rest of APAC,APAC,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
APAC ACQ Essentially Committed,N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,Rest of APAC,APAC,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
APAC Always On,N/A,Priority Uncommitted,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,Rest of APAC,APAC,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
APAC Acquisitions - Dry Powder,N/A,Recommended Global ACQ Budget,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,Rest of APAC,APAC,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
APAC D+ Allocation,N/A,Committed,Known,Include,Include,Include,D+,D+ Concurrent,2023,1,1/1/23,Rest of APAC,APAC,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
APAC Intracompany ACQ (remove from amort),N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,Rest of APAC,APAC,N/A,Acquisitions,ACQ,N/A,N/A,Acquisitions,Acquisitions | ACQ,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
US Soccer Rights,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,US,NA,N/A,Sports - Live Event,ACQ,N/A,N/A,Unscripted,Unscripted | ACQ,Feature,Acquisitions,Acquisitions,0,0,0,0,,Unscripted,N/A,N/A,N/A
Champions League,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,LATAM,LATAM,N/A,Sports - Live Event,ACQ,N/A,N/A,Unscripted,Unscripted | ACQ,Feature,Acquisitions,Acquisitions,0,0,0,0,,Unscripted,N/A,N/A,N/A
EMEA Sports,N/A,Committed,Known,Include,Include,Include,Max acquired,Exclusive,2023,1,1/1/23,EMEA,EMEA,N/A,Sports - Live Event,ACQ,N/A,N/A,Unscripted,Unscripted | ACQ,Feature,Acquisitions,Acquisitions,0,0,0,0,,Unscripted,N/A,N/A,N/A
Localization - US,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2023,1,1/1/23,US,NA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - LATAM,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2023,1,1/1/23,LATAM - ignore,LATAM,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - FR,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2023,12,12/1/23,FR,EMEA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - IT,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2024,7,7/1/24,IT,EMEA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - DE,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2024,7,7/1/24,DE,EMEA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - ES,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2023,1,1/1/23,ES,EMEA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - Nordics,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2024,7,7/1/24,PL,EMEA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - Poland,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2024,7,7/1/24,Nordics,EMEA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - SE Asia,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2024,7,7/1/24,S. Korea,APAC,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - ANZ,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2024,7,7/1/24,Japan,APAC,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - Canada,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2024,7,7/1/24,Canada,NA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
Localization - Belgium,N/A,Localization,Known,Include,Include,Include,N/A,N/A,2024,7,7/1/24,Belgium,EMEA,N/A,Baseline,N/A,N/A,N/A,Baseline,Baseline | N/A,Baseline,Baseline,Baseline,0,0,0,0,,N/A,N/A,N/A,N/A
France - LRP,N/A,New Markets,Known,Include,Exclude,Exclude,N/A,N/A,2024,1,1/1/24,FR,EMEA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
France - Updated Recommendation,N/A,New Markets,Known,Exclude,Include,Include,N/A,N/A,2024,1,1/1/24,FR,EMEA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
Belgium - LRP,N/A,New Markets,Known,Include,Exclude,Exclude,N/A,N/A,2024,1,1/1/24,Belgium,EMEA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
Belgium - Updated Recommendation,N/A,New Markets,Known,Exclude,Include,Include,N/A,N/A,2024,1,1/1/24,Belgium,EMEA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
ANZ - LRP,N/A,New Markets,Known,Include,Exclude,Exclude,N/A,N/A,2024,1,1/1/24,ANZ,APAC,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
ANZ - Updated Recommendation,N/A,New Markets,Known,Exclude,Include,Include,N/A,N/A,2024,1,1/1/24,ANZ,APAC,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
UK - LRP,N/A,New Markets,Known,Include,Exclude,Exclude,N/A,N/A,2024,1,1/1/24,UK,EMEA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
UK - Updated Recommendation,N/A,New Markets,Known,Exclude,Include,Include,N/A,N/A,2024,1,1/1/24,UK,EMEA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
DACH - LRP,N/A,New Markets,Known,Include,Exclude,Exclude,N/A,N/A,2024,1,1/1/24,DE,EMEA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
DACH - Updated Recommendation,N/A,New Markets,Known,Exclude,Include,Include,N/A,N/A,2024,1,1/1/24,DE,EMEA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
Italy - LRP,N/A,New Markets,Known,Include,Exclude,Exclude,N/A,N/A,2024,1,1/1/24,IT,EMEA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
Italy - Updated Recommendation,N/A,New Markets,Known,Exclude,Include,Include,N/A,N/A,2024,1,1/1/24,IT,EMEA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
Canada - LRP,N/A,New Markets,Known,Include,Exclude,Exclude,N/A,N/A,2024,1,1/1/24,Canada,NA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
Canada - Updated Recommendation,N/A,New Markets,Known,Exclude,Include,Include,N/A,N/A,2024,1,1/1/24,Canada,NA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
New Markets Hedge - 3P,N/A,New Markets,Known,Exclude,Include,Include,N/A,N/A,2024,1,1/1/24,US,NA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
New Markets Hedge - I/C,N/A,New Markets,Known,Exclude,Include,Include,N/A,N/A,2024,1,1/1/24,US,NA,N/A,Acquisitions,N/A,N/A,N/A,Acquisitions,Acquisitions | N/A,Acquisitions,Acquisitions,Acquisitions,0,0,0,0,,N/A,N/A,N/A,N/A
Spain Film Fund Levy,N/A,Investment Obligation,Known,Include,Include,Include,N/A,N/A,2024,1,1/1/24,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
France Film Fund Levy,N/A,Investment Obligation,Known,Include,Include,Include,N/A,N/A,2024,1,1/1/24,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
Germany Film Fund Levy,N/A,Investment Obligation,Known,Include,Include,Include,N/A,N/A,2024,1,1/1/24,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
Poland + Nordics Film Fund Levy,N/A,Investment Obligation,Known,Include,Include,Include,N/A,N/A,2024,1,1/1/24,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
Nordics Investment Obligations,N/A,Investment Obligation,Known,Include,Include,Include,N/A,N/A,2024,1,1/1/24,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
